,Country/Region,location,continent,population_year,population,lat,lng
31,Burkina Faso,Burkina Faso,Africa,2022.0,22673764.0,12.0753083,-1.6880314
32,Burundi,Burundi,Africa,2022.0,12889583.0,-3.426449,29.9324519
33,Cambodia,Cambodia,Asia,2022.0,16767851.0,12.5433216,104.8144914
34,Cameroon,Cameroon,Africa,2022.0,27914542.0,4.6125522,13.1535811
35,Canada,Canada,North America,2022.0,38454328.0,61.0666922,-107.991707
36,Cabo Verde,Cape Verde,Africa,2022.0,593162.0,16.0000552,-24.0083947
37,Cayman Islands,Cayman Islands,North America,2022.0,68722.0,19.703182249999998,-79.9174627243246
38,Central African Republic,Central African Republic,Africa,2022.0,5579148.0,7.0323598,19.9981227
39,Chad,Chad,Africa,2022.0,17723312.0,15.6134137,19.0156172
40,Chile,Chile,South America,2022.0,19603736.0,-31.7613365,-71.3187697
41,China,China,Asia,2022.0,1425887360.0,35.000074,104.999927
